feature_name,reference_mean,current_mean,drift_score,drift_detected,status,threshold,reference_window_size,current_window_size,created_at
units_sold,2097.167,692.25,0.6699,True,drift,0.15,1000,300,2026-08-02T16:46:00.235898
current_stock,2134.042,729.85,0.658,True,drift,0.15,1000,300,2026-08-02T16:46:00.255143
temperature,57.7374,58.3838,0.0112,False,stable,0.15,1000,300,2026-08-02T16:46:00.259164
waste_quantity,4.647,10.8633,1.3377,True,drift,0.15,1000,300,2026-08-02T16:46:00.263190
units_sold,2097.167,692.25,0.6699,True,drift,0.15,1000,300,2026-08-03T18:21:39.150167
current_stock,2134.042,729.85,0.658,True,drift,0.15,1000,300,2026-08-03T18:21:39.163926
temperature,57.7374,58.3838,0.0112,False,stable,0.15,1000,300,2026-08-03T18:21:39.170579
waste_quantity,4.647,10.8633,1.3377,True,drift,0.15,1000,300,2026-08-03T18:21:39.170579
units_sold,2097.167,692.25,0.6699,True,drift,0.15,1000,300,2026-08-08T11:54:50.565981
current_stock,2134.042,729.85,0.658,True,drift,0.15,1000,300,2026-08-08T11:54:50.595532
temperature,57.7374,58.3838,0.0112,False,stable,0.15,1000,300,2026-08-08T11:54:50.599439
waste_quantity,4.647,10.8633,1.3377,True,drift,0.15,1000,300,2026-08-08T11:54:50.603460
